Year,Large-Company Stock,Long-Term Government Bonds,U.S. Treasury Bills,Consumer Price Index
1926,11.14,7.9,3.3,-1.12
1927,37.13,10.36,3.15,-2.26
1928,43.31,-1.37,4.05,-1.16
1929,-8.91,5.23,4.47,0.58
1930,-25.26,5.8,2.27,-6.4
1931,-43.86,-8.04,1.15,-9.32
1932,-8.85,14.11,0.88,-10.27
1933,52.88,0.31,0.52,0.76
1934,-2.34,12.98,0.27,1.52
1935,47.22,5.88,0.17,2.99
1936,32.8,8.22,0.17,1.45
1937,-35.26,-0.13,0.27,2.86
1938,33.2,6.26,0.06,-2.78
1939,-0.91,5.71,0.04,0
1940,-10.08,10.34,0.04,0.71
1941,-11.77,-8.66,0.14,9.93
1942,21.07,2.67,0.34,9.03
1943,25.76,2.5,0.38,2.96
1944,19.69,2.88,0.38,2.3
1945,34.46,5.17,0.38,2.25
1946,-8.18,4.07,0.38,18.13
1947,5.24,-1.15,0.62,8.84
1948,5.1,2.1,1.06,2.99
1949,18.06,7.02,1.12,-2.07
1950,30.58,-1.44,1.22,5.93
1951,24.55,-3.53,1.56,6
1952,18.5,1.82,1.75,0.75
1953,-1.1,-0.88,1.87,0.75
1954,52.4,7.89,0.93,-0.74
1955,31.43,-1.03,1.8,0.37
1956,6.63,-3.14,2.66,2.99
1957,-10.85,5.25,3.28,2.9
1958,43.34,-6.7,1.71,1.76
1959,11.9,-1.35,3.48,1.73
1960,0.48,7.74,2.81,1.36
1961,26.81,3.02,2.4,0.67
1962,-8.78,4.63,2.82,1.33
1963,22.69,1.37,3.23,1.64
1964,16.36,4.43,3.62,0.97
1965,12.36,1.4,4.06,1.92
1966,-10.1,-1.61,4.94,3.46
1967,23.94,-6.38,4.39,3.04
1968,11,5.33,5.49,4.72
1969,-8.47,-7.45,6.9,6.2
1970,3.94,12.24,6.5,5.57
1971,14.3,12.67,4.36,3.27
1972,18.99,9.15,4.23,3.41
1973,-14.69,-12.66,7.29,8.71
1974,-26.47,-3.28,7.99,12.34
1975,37.23,4.67,5.87,6.94
1976,23.93,18.34,5.07,4.86
1977,-7.16,2.31,5.45,6.7
1978,6.57,-2.07,7.64,9.02
1979,18.61,-2.76,10.56,13.29
1980,32.5,-5.91,12.1,12.52
1981,-4.92,-0.16,14.6,8.92
1982,21.55,49.99,10.94,3.83
1983,22.56,-2.11,8.99,3.79
1984,6.27,16.53,9.9,3.95
1985,31.73,39.03,7.71,3.8
1986,18.67,32.51,6.09,1.1
1987,5.25,-8.09,5.88,4.43
1988,16.61,8.71,6.94,4.42
1989,31.69,22.15,8.44,4.65
1990,-3.1,5.44,7.69,6.11
1991,30.46,20.04,5.43,3.06
1992,7.62,8.09,3.48,2.9
1993,10.08,22.32,3.03,2.75
1994,1.32,-11.46,4.39,2.67
1995,37.58,37.28,5.61,2.54
1996,22.96,-2.59,5.14,3.32
1997,33.36,17.7,5.19,1.7
1998,28.58,19.22,4.86,1.61
1999,21.04,-12.76,4.8,2.68
2000,-9.1,22.16,5.98,3.39
2001,-11.89,5.3,3.33,1.55
2002,-22.1,14.08,1.61,2.38
2003,28.68,1.62,1.03,1.88
2004,10.88,10.34,1.43,3.26
2005,4.91,10.35,3.3,3.42
2006,15.79,0.28,4.97,2.54
2007,5.49,10.85,4.52,4.05
2008,-37,19.24,1.24,0.09
